Player Name,Country,Time Period,Matches,Played,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,Strike Rate,Centuries,Fifties,Ducks,Fours,Sixes
V Kohli ,India,2016-2022,10,9,4,429,122,85.80,325,132.0,1,3,1,40,11
Mohammad Rizwan ,Pakistan,2022-2022,6,6,1,281,78,56.20,239,117.57,0,3,0,21,6
RG Sharma ,India,2016-2022,9,9,0,271,83,30.11,192,141.14,0,2,1,27,12
Babar Hayat ,Hong Kong,2016-2022,5,5,0,235,122,47.00,160,146.87,1,1,1,22,10
Ibrahim Zadran ,Afghanistan,2022-2022,5,5,2,196,64,65.33,188,104.25,0,1,0,14,4
PBB Rajapaksa ,Sri Lanka,2022-2022,6,6,2,191,71,47.75,128,149.21,0,1,0,15,9
Sabbir Rahman ,Bangladesh,2016-2022,6,6,1,181,80,36.20,148,122.29,0,1,0,16,5
Muhammad Usman ,UAE,2016-2016,7,7,1,176,46,29.33,149,118.12,0,0,0,21,5
Najibullah Zadran ,Afghanistan,2016-2022,8,8,3,176,60,35.20,112,157.14,0,1,1,6,13
P Nissanka ,Sri Lanka,2022-2022,6,6,1,173,55,34.60,150,115.33,0,2,0,15,5
Mahmudullah ,Bangladesh,2016-2022,7,7,4,173,36,57.66,122,141.8,0,0,0,10,7
BKG Mendis ,Sri Lanka,2022-2022,6,6,0,155,60,25.83,99,156.56,0,2,2,10,9
Rahmanullah Gurbaz ,Afghanistan,2022-2022,5,5,0,152,84,30.40,93,163.44,0,1,1,8,12
Shaiman Anwar ,UAE,2016-2016,7,7,1,151,46,25.16,144,104.86,0,0,0,15,4
LD Chandimal ,Sri Lanka,2016-2016,4,4,0,149,58,37.25,136,109.55,0,2,0,19,2
SA Yadav ,India,2022-2022,5,5,1,139,68,34.75,85,163.52,0,1,0,10,8
TM Dilshan ,Sri Lanka,2016-2016,4,4,1,132,75,44.00,109,121.1,0,1,0,18,1
KL Rahul ,India,2022-2022,5,5,0,132,62,26.40,108,122.22,0,1,1,8,6
MD Shanaka ,Sri Lanka,2016-2022,10,10,1,131,45,14.55,111,118.01,0,0,2,9,6
Mohammad Shahzad ,UAE,2016-2016,7,7,1,129,52,21.50,107,120.56,0,1,1,10,4
Rohan Mustafa ,UAE,2016-2016,7,7,0,122,77,17.42,107,114.01,0,1,1,13,6
Sarfaraz Ahmed ,Pakistan,2016-2016,4,3,1,121,58,60.50,93,130.1,0,1,0,14,2
Shoaib Malik ,Pakistan,2016-2016,4,4,2,121,63,60.50,108,112.03,0,1,0,13,4
Zeeshan Maqsood ,Oman,2016-2016,3,3,0,115,52,38.33,97,118.55,0,1,0,11,4
Shakib Al Hasan ,Bangladesh,2016-2022,7,7,0,112,32,16.00,115,97.39,0,0,0,12,0
Umar Akmal ,Pakistan,2016-2016,4,4,1,105,50,35.00,98,107.14,0,1,0,6,5
Iftikhar Ahmed ,Pakistan,2016-2022,7,6,2,105,32,26.25,104,100.96,0,0,0,6,3
Fakhar Zaman ,Pakistan,2022-2022,6,6,0,96,53,16.00,93,103.22,0,1,1,9,2
Soumya Sarkar ,Bangladesh,2016-2016,5,5,0,94,48,18.80,88,106.81,0,0,1,11,2
Hazratullah Zazai ,Afghanistan,2022-2022,5,5,1,93,37,23.25,91,102.19,0,0,1,14,1
Asghar Stanikzai ,Afghanistan,2016-2016,3,3,0,89,49,29.66,61,145.9,0,0,0,10,4
Yuvraj Singh ,India,2016-2016,5,4,2,89,35,44.50,80,111.25,0,0,0,10,4
Muhammad Kaleem ,UAE,2016-2016,7,7,0,89,50,12.71,104,85.57,0,1,1,9,3
HH Pandya ,India,2016-2022,8,6,1,83,33,16.60,56,148.21,0,0,2,8,3
Karim Sadiq ,Afghanistan,2016-2016,3,3,0,82,72,27.33,58,141.37,0,1,1,9,1
S Dhawan ,India,2016-2016,4,4,1,79,60,26.33,71,111.26,0,1,0,12,1
Mohammad Nawaz ,Pakistan,2016-2022,8,5,0,79,42,15.80,55,143.63,0,0,0,8,4
Adnan Ilyas ,Oman,2016-2016,3,3,0,78,54,26.00,46,169.56,0,1,0,4,5
Mosaddek Hossain ,Bangladesh,2022-2022,2,2,2,72,48,-,40,180.0,0,0,0,8,1
Noor Ali Zadran ,Afghanistan,2016-2016,2,2,0,72,63,36.00,61,118.03,0,1,0,9,0
Jatinder Singh ,Oman,2016-2016,3,3,0,69,42,23.00,68,101.47,0,0,0,7,1
Babar Azam ,Pakistan,2022-2022,6,6,0,68,30,11.33,63,107.93,0,0,1,7,0
C Karunaratne ,Sri Lanka,2022-2022,6,4,2,66,31,33.00,64,103.12,0,0,0,5,2
PWH de Silva ,Sri Lanka,2022-2022,6,5,2,66,36,22.00,44,150.0,0,0,0,10,1
KD Shah ,Hong Kong,2016-2022,5,5,0,65,30,13.00,60,108.33,0,0,2,8,2
MD Gunathilaka ,Sri Lanka,2022-2022,6,6,0,63,33,10.50,58,108.62,0,0,1,7,2
Anshuman Rath ,Hong Kong,2016-2016,3,3,0,62,41,20.66,70,88.57,0,0,0,7,0
Amjad Javed ,UAE,2016-2016,7,7,2,61,27,12.20,66,92.42,0,0,1,4,3
Khushdil Shah ,Pakistan,2022-2022,6,6,2,58,35,14.50,48,120.83,0,0,0,1,5
