Player Name,Country,Time Period,Matches,Played,Overs,Maiden Overs,Runs,Wickets,Best Figure,Bowling Average,Economy Rate,Strike Rate,Four Wickets,Five Wickets
B Kumar ,India,2016-2022,6,6,23.0,3,123,13,5/4,9.46,5.34,10.6,1,1
Amjad Javed ,UAE,2016-2016,7,7,23.0,0,169,12,3/25,14.08,7.34,11.5,0,0
Al-Amin Hossain ,Bangladesh,2016-2016,5,5,16.5,0,134,11,3/25,12.18,7.96,9.1,0,0
Mohammad Naveed ,UAE,2016-2016,7,7,27.4,2,145,11,3/14,13.18,5.24,15.0,0,0
Rashid Khan ,Afghanistan,2016-2022,8,8,31.0,0,202,11,3/22,18.36,6.51,16.9,0,0
HH Pandya ,India,2016-2022,8,8,29.3,1,207,11,3/8,18.81,7.01,16.0,0,0
PWH de Silva ,Sri Lanka,2022-2022,6,6,23.0,0,170,9,3/21,18.88,7.39,15.3,0,0
Shadab Khan ,Pakistan,2022-2022,5,5,18.4,0,113,8,4/8,14.12,6.05,14.0,1,0
Haris Rauf ,Pakistan,2022-2022,6,6,20.0,0,153,8,3/29,19.12,7.65,15.0,0,0
Mohammad Nawaz ,Pakistan,2016-2022,8,8,24.4,0,174,8,3/5,21.75,7.05,18.5,0,0
Mohammad Amir ,Pakistan,2016-2016,4,4,16.0,1,81,7,3/18,11.57,5.06,13.7,0,0
KMDN Kulasekara ,Sri Lanka,2016-2016,4,4,15.0,1,95,7,3/10,13.57,6.33,12.8,0,0
Mujeeb Ur Rahman ,Afghanistan,2022-2022,5,5,20.0,0,111,7,3/16,15.85,5.55,17.1,0,0
Naseem Shah ,Pakistan,2022-2022,5,5,18.0,0,138,7,2/7,19.71,7.66,15.4,0,0
C Karunaratne ,Sri Lanka,2022-2022,6,6,16.0,0,145,7,2/27,20.71,9.06,13.7,0,0
Mohammad Nabi ,Afghanistan,2016-2022,8,8,29.0,0,210,7,4/17,30.0,7.24,24.8,1,0
PM Liyanagamage ,Sri Lanka,2022-2022,2,2,6.1,0,55,6,4/34,9.16,8.91,6.1,1,0
JJ Bumrah ,India,2016-2016,5,5,18.0,2,94,6,2/27,15.66,5.22,18.0,0,0
A Nehra ,India,2016-2016,4,4,14.0,0,99,6,3/23,16.5,7.07,14.0,0,0
R Ashwin ,India,2016-2022,6,6,22.0,0,143,6,2/26,23.83,6.5,22.0,0,0
Rohan Mustafa ,UAE,2016-2016,7,7,20.5,0,146,6,3/19,24.33,7.0,20.8,0,0
Fazalhaq Farooqi ,Afghanistan,2022-2022,5,5,18.1,1,152,6,3/11,25.33,8.36,18.1,0,0
Shakib Al Hasan ,Bangladesh,2016-2022,7,7,24.4,0,152,6,2/20,25.33,6.16,24.6,0,0
D Madushanka ,Sri Lanka,2022-2022,6,6,20.0,0,155,6,3/24,25.83,7.75,20.0,0,0
M Theekshana ,Sri Lanka,2022-2022,6,6,24.0,0,162,6,2/21,27.0,6.75,24.0,0,0
Mohammad Irfan ,Pakistan,2016-2016,4,4,16.0,0,87,5,2/18,17.4,5.43,19.2,0,0
Fareed Ahmad ,Afghanistan,2022-2022,2,2,8.0,0,88,5,3/31,17.6,11.0,9.6,0,0
Mashrafe Mortaza ,Bangladesh,2016-2016,5,5,16.0,0,114,5,2/12,22.8,7.12,19.2,0,0
Taskin Ahmed ,Bangladesh,2016-2022,7,7,23.0,1,138,5,2/24,27.6,6.0,27.6,0,0
Arshdeep Singh ,India,2022-2022,5,5,17.3,0,151,5,2/33,30.2,8.62,21.0,0,0
SL Malinga ,Sri Lanka,2016-2016,1,1,4.0,0,26,4,4/26,6.5,6.5,6.0,1,0
Mahmudullah ,Bangladesh,2016-2022,7,3,6.0,0,28,4,2/5,7.0,4.66,9.0,0,0
Nadeem Ahmed ,Hong Kong,2016-2016,3,3,12.0,1,77,4,3/27,19.25,6.41,18.0,0,0
Aamir Kaleem ,Oman,2016-2016,3,3,10.0,0,84,4,4/36,21.0,8.4,15.0,1,0
Bilal Khan ,Oman,2016-2016,3,3,11.0,0,91,4,3/33,22.75,8.27,16.5,0,0
RA Jadeja ,India,2016-2022,6,6,18.0,0,106,4,2/11,26.5,5.88,27.0,0,0
YS Chahal ,India,2022-2022,4,4,16.0,0,127,4,3/34,31.75,7.93,24.0,0,0
Mohammad Hasnain ,Pakistan,2022-2022,4,4,15.0,0,134,4,2/21,33.5,8.93,22.5,0,0
Mustafizur Rahman ,Bangladesh,2016-2022,5,5,19.0,0,134,4,2/13,33.5,7.05,28.5,0,0
Mohammad Shahzad ,UAE,2016-2016,7,7,19.1,0,156,4,2/27,39.0,8.13,28.7,0,0
Aizaz Khan ,Hong Kong,2016-2022,5,5,17.3,0,189,4,3/38,47.25,10.8,26.2,0,0
